Metai,Nr.,Zaideja,EFF,PTS,FG%,FT%,REB,AST,BS,ST,TO,MIN
2018,1.,Daugilė  Šarauskaitė,"23,33",Kauno Aistės-LSMU,"18,37","68,22%","89,47%","10,60","5,70","3,06","4,44","34,75"
2018,2.,Lina  Mikelevičienė,"17,63",Klaipėdos Fortūna,"16,11","60,61%","85,00%","10,58","5,50","2,70","4,05","34,45"
2018,3.,Morgan  Pullins,"17,63",Vilniaus Kibirkštis,"15,56","57,89%","83,72%","8,50","4,40","2,44","4,00","32,79"
2018,4.,Kristė  Timofejeva,"16,10",Kauno Aistės-LSMU,"14,56","57,63%","83,33%","8,15","3,65","2,40","3,93","32,00"
2018,5.,Livija  Sakevičiūtė,"15,95",Vilniaus Kibirkštis,"13,90","52,55%","83,33%","7,88","3,65","2,35","3,85","31,80"
2018,6.,Deja Monet Middleton,"15,17",Vilniaus Kibirkštis,"13,25","52,50%","81,82%","7,15","3,30","2,20","3,45","31,60"
2018,7.,Gabija  Meškonytė,"14,95",Vilniaus Kibirkštis,"12,50","52,31%","81,82%","7,00","3,25","1,95","3,15","30,35"
2018,8.,Kourtni Dinae Perry,"14,80",Ukmergės Vilkmergė,"12,30","51,32%","81,08%","6,80","3,25","1,80","2,88","29,35"
2018,9.,Andra  Gabalytė,"13,40",Klaipėdos Fortūna,"12,00","51,24%","78,26%","5,05","3,00","1,58","2,85","29,30"
2018,10.,Klaudija  Serkevičiūtė,"13,25",Ukmergės Vilkmergė,"11,90","50,00%","76,71%","4,90","2,87","1,50","2,65","29,19"
2018,11.,Ligita  Tamutytė,"11,30",Klaipėdos Fortūna,"11,90","50,00%","73,91%","4,84","2,79","1,45","2,60","28,84"
2018,12.,Gabrielė  Šulskė,"11,25",Ukmergės Vilkmergė,"11,85","50,00%","73,68%","4,80","2,79","1,45","2,44","28,53"
2018,13.,Brigita   Gudelionytė,"10,45",Klaipėdos Fortūna,"10,85","50,00%","73,33%","4,75","2,50","1,45","2,38","28,35"
2018,14.,Ieva  Šimkutė,"10,27",Vilniaus Kibirkštis,"10,68","48,45%","70,00%","4,73","2,47","1,42","2,33","28,25"
2018,15.,Brigita  Sinickaitė,"10,06",Šiaulių Šiauliai-Universitetas,"10,50","48,22%","69,84%","4,70","2,10","1,40","2,33","27,90"
2018,16.,Enrika  Matiukaitė,"9,88",Šiaulių Šiauliai-Universitetas,"9,45","47,66%","69,77%","4,60","1,95","1,35","2,30","27,75"
2018,17.,Dalia  Donskichytė,"9,85",Vilniaus Kibirkštis,"9,45","46,67%","69,77%","4,37","1,95","1,33","2,20","26,75"
2018,18.,Karolina  Kazočiūnaitė,"9,55",Kauno Aistės-LSMU,"9,31","46,09%","68,75%","4,10","1,92","1,31","2,20","26,40"
2018,19.,Gabija  Šegždaitė,"9,35",Kauno Aistės-LSMU,"8,45","44,59%","66,67%","3,85","1,88","1,30","2,20","25,89"
2018,20.,Greta  Stašelienė,"9,05",Kauno Aistės-LSMU,"8,23","43,55%","66,67%","3,80","1,80","1,17","1,95","25,70"
2018,21.,Rasa  Knyzaitė,"8,89",Ukmergės Vilkmergė,"8,21","42,86%","66,38%","3,75","1,75","1,15","1,93","25,69"
2018,22.,Agnė  Černeckytė,"8,55",Klaipėdos Fortūna,"8,05","42,58%","65,85%","3,55","1,75","1,13","1,92","24,55"
2018,23.,Vaida  Ruseckienė,"7,59",Kauno Aistės-LSMU,"7,82","41,79%","65,52%","3,50","1,74","1,09","1,85","24,38"
2018,24.,Justina   Kraujūnaitė,"6,50",Vilniaus Kibirkštis,"7,53","41,72%","64,81%","3,35","1,42","1,05","1,84","23,60"
2018,25.,Agnė  Bobinaitė,"6,47",Vilniaus Kibirkštis,"7,40","41,30%","64,29%","3,33","1,40","0,95","1,80","22,73"
2018,26.,Milda  Sauliūtė,"6,25",Kauno Aistės-LSMU,"6,50","41,26%","62,50%","3,29","1,20","0,88","1,80","22,20"
2018,27.,Deimantė  Žukaitė,"5,90",Kauno Aistės-LSMU,"6,40","40,30%","62,50%","3,25","1,19","0,88","1,77","21,62"
2018,28.,Dominyka  Paliulytė,"5,60",Šiaulių Šiauliai-Universitetas,"6,40","39,02%","58,47%","3,05","1,19","0,87","1,70","21,50"
2018,29.,Martyna   Petrėnaitė,"5,54",Ukmergės Vilkmergė,"6,08","38,78%","54,95%","3,05","1,15","0,85","1,70","20,42"
