Metai,Nr,Žaidėja,EFF,Komanda,Metai,Nr,Žaidėja,PTS,Komanda,Metai,Nr,Žaidėja,FG%,Komanda,Metai,Nr,Žaidėja,FT%,Komanda,Metai,Nr,Žaidėja,REB,Komanda,Metai,Nr,Žaidėja,AST,Komanda,Metai,Nr,Žaidėja,BS,Komanda,Metai,Nr,Žaidėja,ST,Komanda,Metai,Nr,Žaidėja,TO,Komanda,Metai,Nr,Žaidėja,MIN,Komanda
2018,1.,Daugilė  Šarauskaitė,"23,33",Kauno Aistės-LSMU,2018,1.,Lina  Mikelevičienė,"18,37",Klaipėdos Fortūna,2018,1.,Daugilė  Šarauskaitė,"68,22%",Kauno Aistės-LSMU,2018,1.,Milda  Sauliūtė,"89,47%",Kauno Aistės-LSMU,2018,1.,Kourtni Dinae Perry,"10,60",Ukmergės Vilkmergė,2018,1.,Dalia  Donskichytė,"5,70",Vilniaus Kibirkštis,2018,1.,Daugilė  Šarauskaitė,"3,25",Kauno Aistės-LSMU,2018,1.,Brigita  Sinickaitė,"3,06",Šiaulių Šiauliai-Universitetas,2018,1.,Brigita  Sinickaitė,"4,44",Šiaulių Šiauliai-Universitetas,2018,1.,Brigita  Sinickaitė,"34,75",Šiaulių Šiauliai-Universitetas
2018,2.,Lina  Mikelevičienė,"17,63",Klaipėdos Fortūna,2018,2.,Gabija  Meškonytė,"16,11",Vilniaus Kibirkštis,2018,2.,Vaida  Ruseckienė,"60,61%",Kauno Aistės-LSMU,2018,2.,Martyna   Petrėnaitė,"85,00%",Ukmergės Vilkmergė,2018,2.,Daugilė  Šarauskaitė,"10,58",Kauno Aistės-LSMU,2018,2.,Andra  Gabalytė,"5,50",Klaipėdos Fortūna,2018,2.,Morgan  Pullins,"1,44",Vilniaus Kibirkštis,2018,2.,Dominyka  Paliulytė,"2,70",Šiaulių Šiauliai-Universitetas,2018,2.,Gabrielė  Šulskė,"4,05",Ukmergės Vilkmergė,2018,2.,Andra  Gabalytė,"34,45",Klaipėdos Fortūna
2018,3.,Morgan  Pullins,"17,63",Vilniaus Kibirkštis,2018,3.,Brigita  Sinickaitė,"15,56",Šiaulių Šiauliai-Universitetas,2018,3.,Gustė  Drakšaitė,"57,89%",Klaipėdos Fortūna,2018,3.,Andra  Gabalytė,"83,72%",Klaipėdos Fortūna,2018,3.,Deja Monet Middleton,"8,50",Vilniaus Kibirkštis,2018,3.,Justina   Kraujūnaitė,"4,40",Vilniaus Kibirkštis,2018,3.,Kamilė  Berenytė,"1,20",Klaipėdos Fortūna,2018,3.,Morgan  Pullins,"2,44",Vilniaus Kibirkštis,2018,3.,Dominyka  Paliulytė,"4,00",Šiaulių Šiauliai-Universitetas,2018,3.,Lina  Mikelevičienė,"32,79",Klaipėdos Fortūna
2018,4.,Kristė  Timofejeva,"16,10",Kauno Aistės-LSMU,2018,4.,Morgan  Pullins,"14,56",Vilniaus Kibirkštis,2018,4.,Deja Monet Middleton,"57,63%",Vilniaus Kibirkštis,2018,4.,Urtė  Bukauskaitė,"83,33%",Ukmergės Vilkmergė,2018,4.,Brigita   Gudelionytė,"8,15",Klaipėdos Fortūna,2018,4.,Klaudija  Serkevičiūtė,"3,65",Ukmergės Vilkmergė,2018,4.,Vaida  Ruseckienė,"1,06",Kauno Aistės-LSMU,2018,4.,Gabrielė  Šulskė,"2,40",Ukmergės Vilkmergė,2018,4.,Sabira  Ahayeva,"3,93",Šiaulių Šiauliai-Universitetas,2018,4.,Gabija  Meškonytė,"32,00",Vilniaus Kibirkštis
2018,5.,Livija  Sakevičiūtė,"15,95",Vilniaus Kibirkštis,2018,5.,Klaudija  Serkevičiūtė,"13,90",Ukmergės Vilkmergė,2018,5.,Livija  Sakevičiūtė,"52,55%",Vilniaus Kibirkštis,2018,5.,Urtė  Slavickaitė,"83,33%",Vilniaus Kibirkštis,2018,5.,Morgan  Pullins,"7,88",Vilniaus Kibirkštis,2018,5.,Kristė  Timofejeva,"3,65",Kauno Aistės-LSMU,2018,5.,Gabija  Meškonytė,"1,05",Vilniaus Kibirkštis,2018,5.,Dalia  Donskichytė,"2,35",Vilniaus Kibirkštis,2018,5.,Andra  Gabalytė,"3,85",Klaipėdos Fortūna,2018,5.,Ligita  Tamutytė,"31,80",Klaipėdos Fortūna
2018,6.,Deja Monet Middleton,"15,17",Vilniaus Kibirkštis,2018,6.,Daugilė  Šarauskaitė,"13,25",Kauno Aistės-LSMU,2018,6.,Eglė  Zabotkaitė,"52,50%",Vilniaus Kibirkštis,2018,6.,Dalia  Donskichytė,"81,82%",Vilniaus Kibirkštis,2018,6.,Livija  Sakevičiūtė,"7,15",Vilniaus Kibirkštis,2018,6.,Milda  Sauliūtė,"3,30",Kauno Aistės-LSMU,2018,6.,Livija  Sakevičiūtė,"1,00",Vilniaus Kibirkštis,2018,6.,Milda  Sauliūtė,"2,20",Kauno Aistės-LSMU,2018,6.,Dalia  Donskichytė,"3,45",Vilniaus Kibirkštis,2018,6.,Agnė  Černeckytė,"31,60",Klaipėdos Fortūna
2018,7.,Gabija  Meškonytė,"14,95",Vilniaus Kibirkštis,2018,7.,Deja Monet Middleton,"12,50",Vilniaus Kibirkštis,2018,7.,Ieva  Šimkutė,"52,31%",Vilniaus Kibirkštis,2018,7.,Greta  Stašelienė,"81,82%",Kauno Aistės-LSMU,2018,7.,Enrika  Matiukaitė,"7,00",Šiaulių Šiauliai-Universitetas,2018,7.,Gabrielė  Šulskė,"3,25",Ukmergės Vilkmergė,2018,7.,Ieva  Šimkutė,"0,82",Vilniaus Kibirkštis,2018,7.,Gabija  Meškonytė,"1,95",Vilniaus Kibirkštis,2018,7.,Klaudija  Serkevičiūtė,"3,15",Ukmergės Vilkmergė,2018,7.,Brigita   Gudelionytė,"30,35",Klaipėdos Fortūna
2018,8.,Kourtni Dinae Perry,"14,80",Ukmergės Vilkmergė,2018,8.,Gabrielė  Šulskė,"12,30",Ukmergės Vilkmergė,2018,8.,Morgan  Pullins,"51,32%",Vilniaus Kibirkštis,2018,8.,Gabija  Šegždaitė,"81,08%",Kauno Aistės-LSMU,2018,8.,Kristė  Timofejeva,"6,80",Kauno Aistės-LSMU,2018,8.,Brigita  Sinickaitė,"3,25",Šiaulių Šiauliai-Universitetas,2018,8.,Enrika  Matiukaitė,"0,81",Šiaulių Šiauliai-Universitetas,2018,8.,Sabira  Ahayeva,"1,80",Šiaulių Šiauliai-Universitetas,2018,8.,Morgan  Pullins,"2,88",Vilniaus Kibirkštis,2018,8.,Klaudija  Serkevičiūtė,"29,35",Ukmergės Vilkmergė
2018,9.,Andra  Gabalytė,"13,40",Klaipėdos Fortūna,2018,9.,Kristė  Timofejeva,"12,00",Kauno Aistės-LSMU,2018,9.,Gabija  Šegždaitė,"51,24%",Kauno Aistės-LSMU,2018,9.,Brigita  Sinickaitė,"78,26%",Šiaulių Šiauliai-Universitetas,2018,9.,Lina  Mikelevičienė,"5,05",Klaipėdos Fortūna,2018,9.,Agnė  Černeckytė,"3,00",Klaipėdos Fortūna,2018,9.,Dominyka  Paliulytė,"0,70",Šiaulių Šiauliai-Universitetas,2018,9.,Rasa  Knyzaitė,"1,58",Ukmergės Vilkmergė,2018,9.,Ligita  Tamutytė,"2,85",Klaipėdos Fortūna,2018,9.,Dominyka  Paliulytė,"29,30",Šiaulių Šiauliai-Universitetas
2018,10.,Klaudija  Serkevičiūtė,"13,25",Ukmergės Vilkmergė,2018,10.,Kourtni Dinae Perry,"11,90",Ukmergės Vilkmergė,2018,10.,Evelina  Šataitė,"50,00%",Ukmergės Vilkmergė,2018,10.,Lina  Mikelevičienė,"76,71%",Klaipėdos Fortūna,2018,10.,Ligita  Tamutytė,"4,90",Klaipėdos Fortūna,2018,10.,Sabira  Ahayeva,"2,87",Šiaulių Šiauliai-Universitetas,2018,10.,Deja Monet Middleton,"0,50",Vilniaus Kibirkštis,2018,10.,Brigita   Gudelionytė,"1,50",Klaipėdos Fortūna,2018,10.,Kourtni Dinae Perry,"2,65",Ukmergės Vilkmergė,2018,10.,Dominyka  Kučinskaitė,"29,19",Šiaulių Šiauliai-Universitetas
